created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-06-15T12:04:57+00:00,184,3.69313,2.62640,2.63131,63308.82031,17142.32227,0.82198,0.00187,0.99813,,,,
2025-06-15T12:05:50+00:00,185,3.74921,2.51552,2.62640,64270.20312,17142.32227,0.81271,0.04408,0.95592,,,,
2025-06-15T12:06:45+00:00,186,3.71492,2.58254,2.51552,63682.42578,17142.32227,0.81835,0.02595,0.97405,,,,
2025-06-15T12:07:34+00:00,187,3.71979,2.57288,2.58254,63765.89844,17142.32227,0.81755,0.00376,0.99624,,,,
2025-06-15T12:08:26+00:00,188,3.73937,2.53452,2.57288,64101.44141,17142.32227,0.81432,0.01513,0.98487,,,,
2025-06-15T12:09:17+00:00,189,3.75168,2.51079,2.53452,64312.50000,17142.32227,0.81231,0.00945,0.99055,,,,
2025-06-15T12:10:09+00:00,190,3.71006,2.59224,2.51079,63599.11328,17142.32227,0.81916,0.03142,0.96858,,,,
2025-06-15T12:11:02+00:00,191,3.75168,2.51079,2.59224,64312.50000,17142.32227,0.81231,0.03244,0.96756,,,,
2025-06-15T12:11:54+00:00,192,3.74428,2.52501,2.51079,64185.73828,17142.32227,0.81352,0.00563,0.99437,,,,
2025-06-15T12:12:43+00:00,193,3.74675,2.52026,2.52501,64227.94531,17142.32227,0.81311,0.00188,0.99812,,,,
2025-06-15T12:13:36+00:00,194,3.74675,2.52026,2.52026,64227.94531,17142.32227,0.81311,0.00000,1.00000,,,,
2025-06-15T12:14:29+00:00,195,3.75910,2.49664,2.52026,64439.64453,17142.32227,0.81110,0.00946,0.99054,,,,
2025-06-15T12:15:22+00:00,196,3.75168,2.51079,2.49664,64312.50000,17142.32227,0.81231,0.00564,0.99436,,,,
2025-06-15T12:16:14+00:00,197,3.76902,2.47787,2.51079,64609.75781,17142.32227,0.80949,0.01329,0.98671,,,,
2025-06-15T12:18:04+00:00,198,3.75415,2.50607,2.52026,64354.83594,17142.32227,0.81190,0.00566,0.99434,,,,
2025-06-15T12:18:58+00:00,199,3.76405,2.48724,2.50607,64524.62109,17142.32227,0.81029,0.00757,0.99243,,,,
2025-06-15T12:19:51+00:00,200,3.77400,2.46853,2.48724,64695.07031,17142.32227,0.80868,0.00758,0.99242,,,,
2025-06-15T12:20:43+00:00,201,3.75168,2.51079,2.46853,64312.50000,17142.32227,0.81231,0.01683,0.98317,,,,
2025-06-15T12:21:34+00:00,202,3.75168,2.51079,2.51079,64312.50000,17142.32227,0.81231,0.00000,1.00000,,,,
2025-06-15T12:22:26+00:00,203,3.76902,2.47787,2.51079,64609.75781,17142.32227,0.80949,0.01329,0.98671,,,,
2025-06-15T12:23:16+00:00,204,3.76405,2.48724,2.47787,64524.62109,17142.32227,0.81029,0.00377,0.99623,,,,
2025-06-15T12:24:06+00:00,205,3.76654,2.48255,2.48724,64567.16797,17142.32227,0.80989,0.00189,0.99811,,,,
2025-06-15T12:24:55+00:00,206,3.77898,2.45922,2.48255,64780.54688,17142.32227,0.80788,0.00949,0.99051,,,,
2025-06-15T12:25:45+00:00,207,3.76405,2.48724,2.45922,64524.62109,17142.32227,0.81029,0.01126,0.98874,,,,
2025-06-15T12:26:34+00:00,208,3.77649,2.46387,2.48724,64737.78516,17142.32227,0.80828,0.00948,0.99052,,,,
2025-06-15T12:27:24+00:00,209,3.75910,2.49664,2.46387,64439.64453,17142.32227,0.81110,0.01312,0.98688,,,,
2025-06-15T12:28:13+00:00,210,3.77400,2.46853,2.49664,64695.07031,17142.32227,0.80868,0.01139,0.98861,,,,
2025-06-15T12:29:03+00:00,211,3.77400,2.46853,2.46853,64695.07031,17142.32227,0.80868,0.00000,1.00000,,,,
