date,entry_id,Temperature,Humidity,PM2.5,PM10,CO,CO2
2025-06-18T13:40:48+00:00,2593,27.3,81.4,19.9,28.0,2.87945,404.53613
2025-06-18T13:41:37+00:00,2594,27.3,81.5,19.7,24.2,2.66076,404.48685
2025-06-18T13:42:27+00:00,2595,27.2,81.6,19.5,25.1,2.86619,404.4057
2025-06-18T13:43:16+00:00,2596,27.3,81.5,18.4,24.8,2.91951,404.6698
2025-06-18T13:44:10+00:00,2597,27.3,81.4,20.0,26.5,2.95324,404.47867
2025-06-18T13:45:02+00:00,2598,27.3,81.4,19.5,27.3,2.96002,404.47867
2025-06-18T13:45:55+00:00,2599,27.3,81.5,18.7,24.4,2.87281,404.51144
2025-06-18T13:46:45+00:00,2600,27.3,81.5,18.1,22.5,2.93296,404.53613
2025-06-18T13:47:37+00:00,2601,27.3,81.5,18.8,25.0,2.90611,404.52789
2025-06-18T13:48:26+00:00,2602,27.2,81.6,19.7,27.4,3.00787,404.52789
2025-06-18T13:49:20+00:00,2603,27.2,81.7,18.5,25.2,2.98045,404.56094
2025-06-18T13:50:10+00:00,2604,27.2,81.7,18.3,23.4,2.89942,404.50323
2025-06-18T13:51:06+00:00,2605,27.2,81.9,19.5,24.3,2.92623,404.50323
2025-06-18T13:51:55+00:00,2606,27.2,81.8,18.6,25.1,2.90611,404.5444
2025-06-18T13:52:44+00:00,2607,27.2,81.8,19.2,25.3,2.96682,404.56094
2025-06-18T13:53:34+00:00,2608,27.2,81.9,19.1,25.8,3.00787,404.47052
2025-06-18T13:54:23+00:00,2609,27.2,81.9,19.2,24.1,2.98045,404.53613
2025-06-18T13:55:13+00:00,2610,27.2,81.9,19.5,25.4,2.96682,404.48685
2025-06-18T13:57:06+00:00,2611,27.2,81.8,17.7,23.6,3.00099,404.60257
2025-06-18T13:57:58+00:00,2612,27.2,81.8,18.5,22.6,3.02856,404.50323
2025-06-18T13:58:48+00:00,2613,27.2,81.8,18.9,25.2,2.93971,404.43799
2025-06-18T13:59:38+00:00,2614,27.2,81.8,19.3,24.3,3.06331,404.47052
2025-06-18T14:00:27+00:00,2615,27.2,82.0,18.6,25.1,2.99413,404.57755
2025-06-18T14:01:17+00:00,2616,27.2,81.9,18.3,23.6,2.93296,404.47867
2025-06-18T14:02:07+00:00,2617,27.2,81.9,18.3,24.5,2.92623,404.51965
2025-06-18T14:02:57+00:00,2618,27.2,82.0,19.1,25.6,2.96002,404.47052
2025-06-18T14:03:47+00:00,2619,27.2,81.8,18.7,23.8,2.92623,404.51144
2025-06-18T14:04:36+00:00,2620,27.3,81.7,18.2,23.1,2.94647,404.48685
2025-06-18T14:05:26+00:00,2621,27.3,81.6,18.1,22.4,2.97363,403.99557
2025-06-18T14:06:15+00:00,2622,27.3,81.6,18.6,26.0,2.96682,404.48685
2025-06-18T14:07:05+00:00,2623,27.3,81.5,18.4,25.9,2.72999,404.47867
2025-06-18T14:07:54+00:00,2624,27.2,81.7,18.7,22.8,2.98729,404.50323
2025-06-18T14:08:43+00:00,2625,27.2,81.8,18.0,26.4,2.89275,404.46237
2025-06-18T14:09:34+00:00,2626,27.2,81.8,18.3,23.6,2.95324,404.47867
2025-06-18T14:10:23+00:00,2627,27.2,81.9,18.1,23.5,3.00787,404.48685
2025-06-18T14:11:12+00:00,2628,27.2,81.9,18.3,25.2,2.91951,404.47052
2025-06-18T14:12:02+00:00,2629,27.2,81.9,18.2,24.2,2.96682,404.44611
2025-06-18T14:12:51+00:00,2630,27.2,81.7,18.2,24.2,3.01475,404.48685
2025-06-18T14:13:41+00:00,2631,27.2,81.7,19.0,24.2,3.00099,404.46237
2025-06-18T14:14:30+00:00,2632,27.2,81.7,17.6,22.7,2.98045,404.51144
2025-06-18T14:15:20+00:00,2633,27.2,81.8,18.5,25.1,2.89275,404.4057
2025-06-18T14:16:09+00:00,2634,27.2,81.7,17.9,21.9,2.72363,404.46237
2025-06-18T14:16:58+00:00,2635,27.2,81.8,17.8,23.9,2.82673,404.49503
